Date,Open,High,Low,Close,Volume,Adj Close
2016-06-17,25.08,25.129999,24.76,25.040001,882600,25.040001
2016-06-16,24.49,24.889999,24.32,24.879999,1524800,24.879999
2016-06-15,25.07,25.190001,24.969999,24.98,734300,24.98
2016-06-14,24.969999,25.110001,24.860001,25.00,919400,25.00
2016-06-13,25.389999,25.629999,25.26,25.309999,952100,25.309999
2016-06-10,25.709999,25.82,25.59,25.639999,1366900,25.639999
2016-06-09,26.27,26.41,26.209999,26.27,875700,26.27
2016-06-08,26.84,26.92,26.76,26.879999,951500,26.879999
2016-06-07,27.18,27.27,27.07,27.08,712000,27.08
2016-06-06,26.99,27.16,26.950001,27.01,913300,27.01
2016-06-03,27.059999,27.120001,26.91,27.110001,639100,27.110001
2016-06-02,26.940001,27.02,26.870001,26.99,696600,26.99
2016-06-01,26.85,27.00,26.75,26.969999,916400,26.969999
2016-05-31,27.08,27.16,26.85,26.940001,679400,26.940001
2016-05-27,27.030001,27.059999,26.92,27.040001,696100,27.040001
2016-05-26,26.90,26.93,26.73,26.82,815300,26.82
2016-05-25,26.450001,26.559999,26.41,26.459999,969700,26.459999
2016-05-24,25.85,26.299999,25.84,26.209999,782700,26.209999
2016-05-23,25.77,25.90,25.700001,25.76,692800,25.76
2016-05-20,25.82,25.879999,25.700001,25.719999,652300,25.719999
2016-05-19,25.59,25.77,25.50,25.700001,973500,25.700001
2016-05-18,25.530001,25.85,25.48,25.67,832200,25.67
2016-05-17,25.73,25.76,25.43,25.559999,1123100,25.559999
2016-05-16,25.49,25.67,25.450001,25.530001,1394600,25.530001
2016-05-13,25.18,25.27,24.90,24.969999,1315400,24.969999
2016-05-12,26.530001,26.610001,26.10,26.26,1084400,25.377
2016-05-11,26.40,26.67,26.34,26.48,1607300,25.589601
2016-05-10,26.549999,26.77,26.549999,26.73,1243100,25.831195
2016-05-09,26.43,26.540001,26.360001,26.42,808700,25.53162
2016-05-06,26.299999,26.58,26.24,26.540001,694900,25.647585
2016-05-05,26.440001,26.549999,26.32,26.35,1081100,25.463974
2016-05-04,26.66,26.75,26.469999,26.58,1212700,25.686239
2016-05-03,27.110001,27.120001,26.780001,26.83,1629900,25.927833
2016-05-02,27.48,27.629999,27.459999,27.620001,577300,26.69127
