Date,Open,High,Low,Close,Volume,Adj Close
2016-06-17,1265.20,1272.55,1254.20,1262.35,267500,1262.35
2016-06-16,1259.50,1260.00,1238.10,1252.70,218400,1252.70
2016-06-15,1250.00,1261.40,1241.00,1257.60,219900,1257.60
2016-06-14,1250.00,1254.75,1238.55,1247.25,163700,1247.25
2016-06-13,1235.00,1250.00,1215.75,1244.45,224400,1244.45
2016-06-10,1249.90,1269.60,1235.00,1243.60,268000,1243.60
2016-06-09,1267.95,1276.70,1243.40,1248.90,433000,1248.90
2016-06-08,1210.85,1259.00,1202.00,1256.55,653100,1256.55
2016-06-07,1215.00,1224.70,1194.20,1206.50,362300,1206.50
2016-06-06,1215.50,1223.25,1202.00,1207.70,151000,1207.70
2016-06-03,1214.00,1223.90,1206.00,1216.65,203700,1216.65
2016-06-02,1212.00,1221.90,1202.40,1213.20,213700,1213.20
2016-06-01,1205.00,1234.75,1198.55,1214.85,384600,1214.85
2016-05-31,1222.60,1236.00,1198.60,1204.20,474900,1204.20
2016-05-30,1202.80,1231.00,1198.10,1222.35,304600,1222.35
2016-05-27,1191.00,1220.95,1190.00,1202.75,275700,1202.75
2016-05-26,1148.10,1193.70,1148.10,1186.15,365000,1186.15
2016-05-25,1133.10,1157.45,1126.00,1144.20,406700,1144.20
2016-05-24,1127.85,1135.00,1120.50,1126.45,157900,1126.45
2016-05-23,1136.65,1145.00,1121.60,1127.85,257800,1127.85
2016-05-20,1136.00,1142.70,1124.00,1134.40,308100,1134.40
2016-05-19,1153.25,1164.80,1120.10,1137.70,284500,1137.70
2016-05-18,1154.90,1158.60,1142.25,1152.95,249200,1152.95
2016-05-17,1155.20,1168.90,1143.00,1160.35,478900,1160.35
2016-05-16,1157.70,1163.00,1136.50,1150.90,235100,1150.90
2016-05-13,1169.90,1180.80,1151.85,1155.80,223100,1155.80
2016-05-12,1168.00,1178.00,1155.00,1172.65,210300,1172.65
2016-05-11,1159.80,1177.00,1152.45,1162.00,224400,1162.00
2016-05-10,1179.00,1189.00,1165.55,1170.30,309500,1170.30
2016-05-09,1199.00,1199.00,1148.70,1176.85,751600,1176.85
2016-05-06,1180.00,1188.60,1164.00,1177.10,410000,1177.10
2016-05-05,1148.00,1180.50,1136.30,1173.95,426600,1173.95
2016-05-04,1147.00,1156.45,1131.20,1136.85,189900,1136.85
2016-05-03,1145.45,1176.00,1145.45,1151.95,300800,1151.95
2016-05-02,1129.90,1151.00,1122.10,1144.05,234600,1144.05
2016-04-29,1157.50,1164.70,1120.40,1137.80,361000,1137.80
2016-04-28,1182.35,1186.35,1145.00,1147.95,408000,1147.95
2016-04-27,1175.00,1195.50,1157.40,1182.35,225700,1182.35
2016-04-26,1144.05,1180.80,1141.60,1174.90,317300,1174.90
2016-04-25,1180.00,1180.00,1147.25,1151.10,129800,1151.10
2016-04-22,1174.00,1180.00,1161.30,1173.50,85400,1173.50
2016-04-21,1189.00,1195.00,1172.00,1179.80,113800,1179.80
2016-04-20,1181.00,1198.70,1173.30,1181.35,208200,1181.35
2016-04-19,1178.45,1178.45,1178.45,1178.45,000,1178.45
2016-04-18,1169.90,1183.50,1160.00,1178.45,141400,1178.45
2016-04-15,1170.45,1170.45,1170.45,1170.45,000,1170.45
2016-04-14,1170.45,1170.45,1170.45,1170.45,000,1170.45
2016-04-13,1172.00,1188.00,1162.35,1170.45,246900,1170.45
2016-04-12,1135.00,1174.85,1135.00,1168.60,257300,1168.60
2016-04-11,1140.00,1146.50,1116.55,1141.30,169600,1141.30
2016-04-08,1108.00,1135.00,1104.20,1132.20,144900,1132.20
2016-04-07,1176.00,1176.00,1108.25,1115.05,225100,1115.05
2016-04-06,1105.40,1136.00,1104.00,1130.70,238600,1130.70
2016-04-05,1118.00,1125.00,1094.30,1104.70,158700,1104.70
2016-04-04,1130.00,1130.50,1110.25,1121.60,119200,1121.60
2016-04-01,1095.00,1128.90,1091.00,1122.90,284600,1122.90
2016-03-31,1095.00,1104.90,1084.00,1099.70,498000,1099.70
2016-03-30,1086.00,1101.05,1070.75,1096.25,289200,1096.25
2016-03-29,1056.00,1082.85,1056.00,1071.70,171400,1071.70
2016-03-28,1099.00,1106.95,1062.00,1072.45,184300,1072.45
2016-03-25,1093.45,1093.45,1093.45,1093.45,000,1093.45
2016-03-24,1093.45,1093.45,1093.45,1093.45,000,1093.45
2016-03-23,1071.00,1096.90,1064.10,1093.45,271800,1093.45
2016-03-22,1078.00,1086.50,1058.00,1072.55,243800,1072.55
2016-03-21,1052.00,1075.00,1052.00,1071.85,194800,1071.85
2016-03-18,1025.45,1061.00,1025.40,1052.45,452600,1052.45
2016-03-17,1011.10,1033.80,1011.10,1025.45,298600,1025.45
2016-03-16,1021.90,1024.95,991.00,1004.60,319200,1004.60
2016-03-15,1035.00,1039.50,1016.00,1021.80,168800,1021.80
2016-03-14,1039.00,1047.50,1026.20,1034.60,160900,1034.60
2016-03-11,1034.00,1039.90,1027.00,1032.95,159700,1032.95
2016-03-10,1050.00,1052.80,1024.00,1035.40,244400,1035.40
2016-03-09,1051.90,1051.90,1027.20,1041.95,253700,1041.95
2016-03-08,1055.00,1066.00,1029.25,1046.70,516200,1046.70
2016-03-07,1044.10,1044.10,1044.10,1044.10,000,1044.10
2016-03-04,1055.00,1059.40,1038.15,1044.10,366500,1044.10
2016-03-03,1059.70,1066.00,1033.00,1049.35,415500,1049.35
2016-03-02,1045.00,1074.00,1040.50,1053.60,409900,1053.60
2016-03-01,992.00,1032.45,990.00,1025.55,254700,1025.55
2016-02-29,994.50,999.95,971.80,986.00,253600,986.00
2016-02-26,1004.80,1009.00,986.00,993.40,172000,993.40
2016-02-25,997.00,1092.00,978.00,992.25,493700,992.25
2016-02-24,1005.10,1015.00,987.00,993.35,329200,993.35
2016-02-23,1036.50,1039.95,1006.55,1016.95,191800,1016.95
2016-02-22,1042.10,1058.25,1032.05,1036.40,227700,1036.40
2016-02-19,1034.00,1045.00,1016.35,1041.20,141900,1041.20
2016-02-18,1041.25,1047.00,1016.05,1031.15,241200,1031.15
2016-02-17,998.00,1038.45,972.50,1028.90,327300,1028.90
2016-02-16,1040.05,1048.80,990.05,994.45,296800,994.45
